from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
"Warsaw, Poland","Warsaw Ghetto, Poland",1940,Walking,Forced relocation by Nazis into the Warsaw Ghetto,10098.txt,,,52.2308605,20.9991022
"Warsaw Ghetto, Poland",Polish airport barracks near Warsaw,December 1941,Truck,Forced labor assignment by Nazis,10098.txt,52.2308605,20.9991022,,
Polish airport barracks near Warsaw,"Warsaw Ghetto, Poland",Late December 1941,Truck and walking (escaped),Escaped after dangerous relationship with German officer's daughter,10098.txt,,,52.2308605,20.9991022
"Warsaw Ghetto, Poland","Treblinka extermination camp, Poland",Late December 1942,Train,Deportation by Nazis,10098.txt,52.2308605,20.9991022,52.6310673,22.0534911
"Treblinka extermination camp, Poland","Warsaw Ghetto, Poland",Late December 1942,Train (escaped by jumping off),Escaped to warn others about extermination at Treblinka,10098.txt,52.6310673,22.0534911,52.2308605,20.9991022
"Warsaw Ghetto, Poland","Majdanek concentration camp, Poland",May 1943,"Truck to Umschlagplatz, then train",Captured after Warsaw Ghetto Uprising,10098.txt,52.2308605,20.9991022,51.2216932,22.5975039
"Majdanek concentration camp, Poland","Skarzysko-Kamienna labor camp, Poland",Late summer 1943,Train,Transferred for forced labor in ammunition factory,10098.txt,51.2216932,22.5975039,,
"Skarzysko-Kamienna labor camp, Poland","Sulejow labor site, Poland",Early 1944,Train,Evacuation due to advancing Soviet forces,10098.txt,,,,
"Sulejow labor site, Poland","Czestochowa labor camp, Poland",1944,Train,Transferred for forced labor,10098.txt,,,,
"Czestochowa labor camp, Poland","Buchenwald concentration camp, Germany",December 1944,Train,Evacuation due to advancing Soviet forces,10098.txt,,,51.0235423,11.2522682
"Buchenwald concentration camp, Germany","Dachau concentration camp, Germany",March-April 1945,Forced march (death march),Evacuation due to advancing Allied forces,10098.txt,51.0235423,11.2522682,47.6978718,10.3244047
"Dachau concentration camp, Germany","Buchloe, Germany","After April 29, 1945","Various (walking, hitchhiking)","Liberated by American forces, traveled to find other survivors",10098.txt,47.6978718,10.3244047,48.0373762,10.7282761
"Buchloe, Germany","Bremen, Germany",September 1949,Not specified,Preparation for emigration to the United States,10098.txt,48.0373762,10.7282761,,
"Bremen, Germany","New Orleans, Louisiana, USA",December 1949,Ship,Emigration to the United States,10098.txt,,,29.9759983,-90.0782127
"New Orleans, Louisiana, USA","Monroe, Louisiana, USA",December 1949,Train,Assigned resettlement location in the United States,10098.txt,29.9759983,-90.0782127,32.5025471,-92.116219
"Debrecen, Hungary","Hatvan Street ghetto area, Debrecen, Hungary",Spring 1944,Not mentioned,Forced relocation to a designated ghetto area,10162.txt,,,,
"Hatvan Street ghetto area, Debrecen, Hungary","Brick factory (Téglagyár), outskirts of Debrecen, Hungary",Late Spring 1944,Not mentioned,Further forced relocation before deportation,10162.txt,,,,
"Brick factory, outskirts of Debrecen, Hungary","Auschwitz, Poland",Late Spring/Early Summer 1944,Cattle car train,Deportation to concentration camp,10162.txt,,,50.0382443,19.2214053
"Auschwitz, Poland","Münchmühle labor camp (Fabrik Allendorf), Germany",Fall 1944,Cattle car train,Selected by Mengele for forced labor in ammunition factory,10162.txt,50.0382443,19.2214053,,
"Münchmühle labor camp, Germany","Unknown location westward, Germany",April 1945,Forced march (death march),Evacuation of camp due to approaching Allied forces,10162.txt,,,,
"Forced march route, Germany","Forest near a farm, Germany",April 1945,On foot (escape),Escape from forced march as German guards fled,10162.txt,,,,
"Forest near a farm, Germany","Nearby farm, Germany",April 1945,On foot (guided by French POWs),Hidden by French prisoners of war until liberation,10162.txt,,,,
"Farm, Germany","School building (temporary shelter), Germany",April/May 1945,Not mentioned,Shelter provided after liberation by American forces,10162.txt,53.4333,9.31667,,
"School building, Germany","Fritzlar American airbase, Germany",Summer 1945,Car (American Red Cross),Offered work by American Red Cross as interpreter (though actually worked making donuts),10162.txt,,,,
"Fritzlar American airbase, Germany","Budapest, Hungary",Fall 1945,"Hitchhiking, trains",Return to Hungary after learning her father survived,10162.txt,,,47.4978789,19.0402383
"Budapest, Hungary","Debrecen, Hungary",Late 1945,Not mentioned,Sent by father to live temporarily with mother's cousin,10162.txt,47.4978789,19.0402383,,
"Debrecen, Hungary","Budapest, Hungary",Late 1940s,Not mentioned,Returned to Budapest after finishing school,10162.txt,,,47.4978789,19.0402383
"Budapest, Hungary","Belgrade, Yugoslavia",October 1956,Not mentioned,Fled Hungary during the Hungarian Revolution,10162.txt,47.4978789,19.0402383,44.7880163,20.4522489
"Belgrade, Yugoslavia","Paris, France",Late 1956,Not mentioned,Moved to France due to having an uncle there,10162.txt,44.7880163,20.4522489,,
"Paris, France","New York, USA",1961,Airplane,Job opportunity with Revlon in the perfume industry,10162.txt,,,40.7127281,-74.0060152
"Forest Hills, New York, USA","Huntington, New York, USA",1963,Not mentioned,Moved after marrying Alan Friedberg,10162.txt,,,,
"Hildesheim, Germany","Dreisen, Germany","April 1, 1933",Not explicitly mentioned,To attend the European Fashion Academy for further technical training in tailoring.,10572.txt,52.1527188,9.9518083,49.6029907,8.0131458
"Dreisen, Germany","Hamburg, Germany","August 1, 1934",Not explicitly mentioned,"To start working at a fine tailoring firm, Christian Ohlmeyer.",10572.txt,49.6029907,8.0131458,53.550341,10.000654
"Hamburg, Germany","Hildesheim, Germany",1938,Not explicitly mentioned,Returned home after the liquidation of the family business.,10572.txt,53.550341,10.000654,52.1527188,9.9518083
"Hildesheim, Germany","Berlin, Germany",August 1938,Car,"To meet Mrs. Hamilton, an American woman, to seek sponsorship for emigration to the United States.",10572.txt,52.1527188,9.9518083,52.510885,13.3989367
"Hildesheim, Germany","Buchenwald concentration camp, Germany","November 10, 1938",Train and truck,Arrested during Kristallnacht and deported to Buchenwald.,10572.txt,52.1527188,9.9518083,51.0235423,11.2522682
"Buchenwald concentration camp, Germany","Hildesheim, Germany",Early 1939,Train,Released from Buchenwald due to affidavits provided by Mrs. Hamilton.,10572.txt,51.0235423,11.2522682,52.1527188,9.9518083
"Hildesheim, Germany","Lord Kitchener Camp, England","June 23, 1939",Train and ship,To escape Nazi Germany and await immigration to the United States.,10572.txt,52.1527188,9.9518083,,
"Lord Kitchener Camp, England","Liverpool, England","May 1, 1940",Not explicitly mentioned,To board a ship to the United States after receiving immigration visa.,10572.txt,,,53.4071991,-2.99168
"Liverpool, England","New York, United States",May 1940,Ship (Britannic),Immigration to the United States.,10572.txt,53.4071991,-2.99168,,
"New York, United States","Elkhart, Indiana, United States",Summer 1940,Greyhound bus,Sent by refugee committee to disperse refugees from New York.,10572.txt,,,41.6012796,-85.8590603
"Elkhart, Indiana, United States","Chicago, Illinois, United States",Summer 1940,Bus,Moved to Chicago after receiving financial assistance from Mrs. Hamilton to arrange parents' immigration.,10572.txt,41.6012796,-85.8590603,41.8755616,-87.6244212
"Chicago, Illinois, United States","Camp Lee, Virginia, United States",1942,Not explicitly mentioned,Joined the U.S. Army and underwent basic training.,10572.txt,41.8755616,-87.6244212,,
"Camp Lee, Virginia, United States","Camp Ashby, Virginia, United States",1943,Not explicitly mentioned,Assigned to work at a prisoner of war camp.,10572.txt,,,,
"Camp Ashby, Virginia, United States","Baltimore, Maryland, United States",1944,Not explicitly mentioned,Transferred to Third Service Command headquarters to work in counterintelligence.,10572.txt,,,39.2908816,-76.610759
"Baltimore, Maryland, United States","Chicago, Illinois, United States",May 1946,Not explicitly mentioned,Returned to civilian life after discharge from the U.S. Army.,10572.txt,39.2908816,-76.610759,41.8755616,-87.6244212
"Oswiecim, Poland","Sosnowiec, Poland",1941,Train,Forced resettlement by Germans,10587.txt,,,,
"Sosnowiec, Poland","Srodula, Poland",1943,Walking,Forced relocation to Srodula ghetto,10587.txt,,,50.29892,19.1581338
"Srodula, Poland","Bielsko, Poland",1943,Walking,Escaping liquidation of Srodula ghetto,10587.txt,50.29892,19.1581338,52.607327,15.9228416
"Bielsko, Poland","Auschwitz concentration camp, Poland",1943,Cattle train,Captured by Germans and deported to Auschwitz,10587.txt,52.607327,15.9228416,50.0389061,19.1712984
"Auschwitz concentration camp, Poland","Funfteichen (Krupp factory), Germany",Late 1943,Cattle train,Transferred to forced labor at Krupp factory,10587.txt,50.0389061,19.1712984,,
"Funfteichen, Germany","Gross-Rosen concentration camp, Germany",Late 1944,Walking (Death march),Evacuation due to approaching Russian forces,10587.txt,,,,
"Gross-Rosen concentration camp, Germany","Hersbruck concentration camp, Germany",Late 1944 or early 1945,Open cattle train,Transferred to forced labor at Hersbruck,10587.txt,,,,
"Hersbruck concentration camp, Germany","Dachau concentration camp, Germany",Early 1945,Walking (Death march),Evacuation due to approaching Allied forces,10587.txt,,,47.6978718,10.3244047
"Dachau concentration camp, Germany","Munich, Germany",April or May 1945,Walking,Liberation and seeking shelter after liberation,10587.txt,47.6978718,10.3244047,48.1371079,11.5753822
"Munich, Germany","Breslau area (near Wroclaw), Poland",1945,"Walking, hitchhiking, trains",Searching for surviving siblings,10587.txt,48.1371079,11.5753822,,
"Breslau area, Poland","Munich, Germany",1945,Train (posing as Volksdeutsche),Returning with siblings to Munich after reunion,10587.txt,,,48.1371079,11.5753822
"Munich, Germany",United States,"December 23, 1949",Ship (implied),Immigration to the United States,10587.txt,48.1371079,11.5753822,,
"Detroit, Michigan, USA","Los Angeles, California, USA",Around 1957,Not mentioned,Relocation after marriage,10587.txt,42.3315509,-83.0466403,34.0536909,-118.242766
Barisaw,Vyazma,around 1915-1916,not mentioned,Sent by grandmother to live away from Barisaw after revolting against attending cheder,10644.txt,,,55.2103563,34.2995187
Vyazma,Barisaw,around 1916-1917,not mentioned,Returned to Barisaw to attend gymnasium,10644.txt,55.2103563,34.2995187,,
Barisaw,Kiev,1918,not mentioned,Family fled due to fear of Bolsheviks after the revolution,10644.txt,,,50.4500336,30.5241361
Kiev,Bialystok,around 1919,not mentioned,Family moved to escape political instability and danger,10644.txt,50.4500336,30.5241361,,
Bialystok,Drohiczyn,early 1920s,not mentioned,Attended Polish government high school,10644.txt,,,52.396648,22.658812
Drohiczyn,Vilna,1927,not mentioned,Admitted to medical school at the University of Vilna,10644.txt,52.396648,22.658812,54.6870458,25.2829111
