geonameid	name	code
5879092	Alaska	AK
4829764	Alabama	AL
4099753	Arkansas	AR
5551752	Arizona	AZ
5332921	California	CA
5417618	Colorado	CO
4831725	Connecticut	CT
4138106	District of Columbia	DC
4142224	Delaware	DE
4155751	Florida	FL
4197000	Georgia	GA
5855797	Hawaii	HI
4862182	Iowa	IA
5596512	Idaho	ID
4896861	Illinois	IL
4921868	Indiana	IN
4273857	Kansas	KS
6254925	Kentucky	KY
4331987	Louisiana	LA
6254926	Massachusetts	MA
4361885	Maryland	MD
4971068	Maine	ME
5001836	Michigan	MI
5037779	Minnesota	MN
4398678	Missouri	MO
4436296	Mississippi	MS
5667009	Montana	MT
4482348	North Carolina	NC
5690763	North Dakota	ND
5073708	Nebraska	NE
5090174	New Hampshire	NH
5101760	New Jersey	NJ
5481136	New Mexico	NM
5509151	Nevada	NV
5128638	New York	NY
5165418	Ohio	OH
4544379	Oklahoma	OK
5744337	Oregon	OR
6254927	Pennsylvania	PA
5224323	Rhode Island	RI
4597040	South Carolina	SC
5769223	South Dakota	SD
4662168	Tennessee	TN
4736286	Texas	TX
5549030	Utah	UT
6254928	Virginia	VA
5242283	Vermont	VT
5815135	Washington	WA
5279468	Wisconsin	WI
4826850	West Virginia	WV
5843591	Wyoming	WY
