from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
"Warsaw, Poland","Warsaw Ghetto, Poland",1940,Not mentioned,Forced relocation by Nazis into the ghetto,10098.txt,52.2337172,21.0714322,52.2308605,20.9991022
"Warsaw Ghetto, Poland",Polish airport barracks near Warsaw,December 1941,Truck,Forced labor assignment by Nazis,10098.txt,52.2308605,20.9991022,,
Polish airport barracks near Warsaw,"Warsaw Ghetto, Poland",Late December 1941,Truck and walking (jumped the wall),Escaped from forced labor after dangerous relationship with German officer's daughter,10098.txt,,,52.2308605,20.9991022
"Warsaw Ghetto, Poland","Treblinka extermination camp, Poland",Late December 1942,Train,Deportation by Nazis,10098.txt,52.2308605,20.9991022,52.6310673,22.0534911
"Treblinka extermination camp, Poland","Warsaw Ghetto, Poland",Late December 1942,Train (escaped by jumping off),Escaped to warn others about extermination at Treblinka,10098.txt,52.6310673,22.0534911,52.2308605,20.9991022
"Warsaw Ghetto, Poland","Majdanek concentration camp, Poland",May 1943,"Truck to Umschlagplatz, then train",Captured after Warsaw Ghetto Uprising,10098.txt,52.2308605,20.9991022,51.2216932,22.5975039
"Majdanek concentration camp, Poland","Skarzysko-Kamienna labor camp, Poland",Late summer 1943,Train,Transferred for forced labor in ammunition factory,10098.txt,51.2216932,22.5975039,,
"Skarzysko-Kamienna labor camp, Poland","Sulejow labor camp, Poland",Early 1944,Not mentioned,Transferred to dig tank traps,10098.txt,,,,
"Sulejow labor camp, Poland","Czestochowa labor camp, Poland",1944,Not mentioned,Transferred to work in ammunition factory,10098.txt,,,,
"Czestochowa labor camp, Poland","Buchenwald concentration camp, Germany",December 1944,Train,Evacuation due to advancing Soviet forces,10098.txt,,,51.0235423,11.2522682
"Buchenwald concentration camp, Germany","Dachau concentration camp, Germany",March-April 1945,Forced march (death march),Evacuation due to advancing Allied forces,10098.txt,51.0235423,11.2522682,47.6978718,10.3244047
"Dachau concentration camp, Germany","Buchloe, Germany","After liberation, April-May 1945",Not mentioned,Moved to find other survivors and settle temporarily,10098.txt,47.6978718,10.3244047,48.0373762,10.7282761
"Buchloe, Germany","Bremen, Germany",Late 1949,Not mentioned,Waiting for ship to emigrate to America,10098.txt,48.0373762,10.7282761,53.0758196,8.8071646
"Bremen, Germany","New Orleans, USA",December 1949,Ship,Immigration to the United States,10098.txt,53.0758196,8.8071646,29.9759983,-90.0782127
"New Orleans, USA","Monroe, Louisiana, USA",December 1949,Train,Assigned to settle and work in Monroe,10098.txt,29.9759983,-90.0782127,32.5025471,-92.116219
"Debrecen, Hungary","Hatvan Street ghetto, Debrecen, Hungary",Spring 1944,Not mentioned,Forced relocation to a designated ghetto area,10162.txt,47.531399,21.6259782,,
"Hatvan Street ghetto, Debrecen, Hungary","Brick factory (Téglagyár), outskirts of Debrecen, Hungary",Late Spring 1944,Not mentioned,Further forced relocation before deportation,10162.txt,,,,
"Brick factory, outskirts of Debrecen, Hungary","Auschwitz, Poland",Late Spring/Early Summer 1944,Cattle car (train),Deportation to concentration camp,10162.txt,,,50.0382443,19.2214053
"Auschwitz, Poland","Münchmühle labor camp (Fabrik Allendorf), Germany",Fall 1944,Cattle car (train),Selected by Mengele for forced labor in ammunition factory,10162.txt,50.0382443,19.2214053,,
"Münchmühle labor camp, Germany",Unknown location westward in Germany,April 1945,Walking (death march),Evacuation of camp due to approaching Allied forces,10162.txt,,,,
"Death march route, Germany","Forest near a farm, Germany",April 1945,Walking (escape into forest),Escape from death march,10162.txt,,,,
